,Query,Answer,Label
0,"Ты удивляешься, думаю, сын Клиниаса, что,полюбив тебя прежде всех, я один теперь не отстаю от тебя, когда прочие уже отстали, и что между тем как другие надоедали тебе своими беседами, я, в продолжение столь многих лет, не сказал с тобою ни одного слова. Причина этому была не человеческая, а божественная, которой силу ты узнаешь впоследствии. Теперь она уже  не препятствует, и вот я пришел, надеясь, что и впредь препятствовать не будет. Почти во всё это время я внимательно наблюдал, как ты держишь себя в отношении к лицам, тебя любящим. Много было их, и они отличались высокоумием; но не осталось ни одного, который неубежал бы, побежденный твоею рассудительностью. Я раскрою причину твоего презрения к ним. Тебе, говоришь, ни в ком из людей и ни для чего нет надобности; потому что богатство твое велико: всего довольно, начиная с тела до души. Во-первых, ты считаешь себя красивым и знатным, и всякий ясно видит, что не обманываешься. Во-вторых, ты происходишь из семейства самого храброго в своем городе, величайшем между городами Эллинов; а потому со стороны отца у тебя очень  много знаменитых друзей и родственников, которые, если бы понадобилось, готовы служить тебе. Не менее их и не хуже они также со стороны твоей матери. Но, по твоему мнению, более всех упомянутых мною лиц доставляет тебе силы Перикл, сын Ксантиппа, которого твой отец назначил тебе и твоему брату в опекуны, и который нетолько в своем отечестве, но и в целой Элладе, даже во многих и известнейших поколениях варваров, может делать всё, что хочет. Я прибавил бы еще, что ты — один из людей богатейших; но в этом  отношении у тебя мало самомнения. Гордясь такими преимуществами, ты овладел всеми своими любителями, и они, как слабейшие, подчинились твоей власти. Это тебе известно; а потому, знаю, ты и удивляешься, что̀ за мысль у меня — не бросать своей любви, в какой надежде я остаюсь верен ей, не смотря на бегство прочих.","Но, может быть, тебе неизвестно, Сократ, что ты чуть-чуть предупредил меня. Ведь я первый думал прийти к тебе и спросить тебя именно об этом, то есть,  чего ты хочешь и с какою целью надоедаешь мне, заботливо являясь везде, где бы я ни бывал. Да, для меня в самом деле удивительно, какое бы могло быть твое намерение, и я охотно желал бы знать об этом.",1
1,"Так видно ты будешь слушать меня со вниманием, если, как говоришь, желал бы знать, что̀ у меня на уме. Пожалуй слушай и имей терпение, — всё скажу.","Без сомнения, буду слушать, — только говори.",1
2,"Смотри же; ведь нет ничего удивительного, что как трудно мне начать, так трудно будет и кончить.","Говори, добряк; а я уж буду слушать.",1
3,"Приходится говорить. Хотя тому, кто любит, и не легко относиться к человеку, который не ниже людей его любящих, однакож я осмелюсь высказать свою мысль. Если бы я видел, Алкивиад, что ты доволен всем тем, о чём сейчас упомянуто мною, и намерен был с этим провесть свою жизнь, то давно бы, сколько знаю себя,отказался от своей любви. Но теперь я хочу раскрыть пред самим тобою другие твои помыслы, из чего ты уразумеешь, что я непрестанно наблюдал за тобою. Если бы, кажется, какой-нибудь бог сказал тебе: Алкивиад! хочешь ли жить, наслаждаясь тем, что имеешь, или тотчас умереть, если нельзя тебе будет получить что-нибудь более? — то ты, думаю, избрал бы смерть. И я скажу, какая теперь надежда твоей жизни. Ты думаешь, что как скоро явишься в  собрание афинского народа, — а это будет чрез несколько дней, — то докажешь Афинянам, что сто̀ишь таких почестей, какими не пользовался ни Перикл, никто другой из мужей, когда-либо существовавших, и, доказав это, приобретешь в городе величайшую силу; приобретши же силу здесь, будешь могуществен и у прочих Эллинов, да не только у Эллинов, даже у варваров, обитающих на одном с нами материке. Потом если бы тот же бог снова сказал тебе, что твоя власть должна ограничиваться только Европою, а в Азию перейти тебе будет  нельзя и к тамошним делам рука твоя не прострется: то ты, кажется, не захотел бы довольствоваться и этим, жить без надежды — наполнить своим именем и силою целое, можно сказать, человечество. Кроме Кира и Ксеркса, для тебя, думаю, нет человека, стоющего внимания. Что именно такою воодушевляешься ты надеждою, это я знаю, а не догадываюсь. Но сознаваясь, что я говорю правду, ты, может быть, спросишь: как же это, Сократ, относится к  причине твоей безотвязности, которую ты спешил было открыть мне, и по которой не оставляешь меня? Скажу и это, любезный сын Клиниаса и Димонахи. Цели всех этих помыслов без меня достигнуть ты не можешь: столь велико, думаю, мое влияние на тебя и на твои обстоятельства! Потому-то Бог, давно уже полагаю я, и не позволял мне разговаривать с тобою, а я всё ждал, пока позволит. Ведь как ты надеешься иметь великую силу в  городе, доказав ему предпочтительное свое достоинство, и что для тебя нет ничего невозможного: так и я надеюсь иметь величайшее влияние на тебя, доказав, что в отношении к тебе значу более всех, что ни опекун, ни родственник, никто, кроме меня, лишь бы только Бог помог, не в состоянии сообщить тебе ту силу, которой ты жаждешь. Когда ты был моложе и еще не питал этой надежды, Бог не позволял мне беседовать с тобою, — кажется потому, что наша беседа тогда могла бы быть напрасна:а теперь он велит, теперь ты можешь слушать меня.","Я нахожу, Сократ, что начав говорить, ты сделался гораздо страннее, чем был прежде, когда следовал за мною молча, хотя и в то время казался очень странным. Питаю ли я такие мысли, или нет, — у тебя, как видно, уже решено: и если бы я стал отказываться, это нисколько не помогло бы мне убедить тебя. Пусть так. Однакож, если бы я и совершенно проникнут был подобными мыслями, — каким же образом осуществятся они чрез тебя, а без тебя ничего не выдет? Можешь ли сказать это?",1
4,"Ты так спрашиваешь, как будто я должен произнести тебе длинную речь, к каким столь привычно твое ухо. Нет, мое дело не таково. Я, кажется, только в состоянии доказать тебе, что это в самом деле так, если ты хоть немного поможешь мне только в одном.","Лишь бы тут не требовалось какой-нибудь трудной помощи, я готов.",1
5,"Но ведь я буду спрашивать тебя, как человека, проникнутого именно теми мыслями, которые тебе приписаны мною.","Пожалуй, если хочешь, только бы знать, о чём  будешь спрашивать-то.",1
6,"Хорошо. Итак ты думаешь, говорю я, чрез несколько времени сделаться советником Афинян. Но если бы, в минуту твоего вступления на кафедру, я взял да и спросил: Алкивиад! ты встаешь со своим советом, когда Афиняне вознамерились открыть о чём-то совещание: скажи, потому ли решаешься на это, что разумеешь дело лучше их? — Что отвечал бы ты?","Конечно, отвечал бы, что разумею дело лучше их.",1
7,"Но ведь и мне почти известно, чему ты учился; а что неизвестно, скажи. На моей памяти, ты учился грамоте, играть на цитре и фехтовать; флейтою же заниматься не хотел. Вот что ты знаешь, если только не учился еще какому-нибудь искусству, которое ускользнуло от моего внимания. Впрочем, выходя из дома, ты, думаю, не скрылся бы от меня ни днем ни ночью.","Да я и не ходил ни к каким другим учителям, кроме этих.",1
8,"Ну, а когда бы рассуждали об игре на лире?",Никак не встал бы.,1
9,"Так о чём же должны они рассуждать, чтобы, встав в качестве советника, ты встал кстати?","О своих делах, Сократ.",1
